ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,length,sentiment,positive_count,negative_count
443,dễ_dàng thoải_mái thư_giãn,29/04/2023,17:06,5,308500015,48,positive,2,0
1030,dãng thoải_mái thư_giãn,30/04/2023,15:04,5,308500015,45,positive,2,0
689,thích hasaki sản_phẩm,30/04/2023,18:34,5,422216594,41,positive,1,0
2519,sản_phẩm khả_năng sạch tốt lớp môi_chóng loại_bỏ bông_tẩy toàn_bộ bụi bẩn dầu_thừa lớp cực_kỳ tiết_kiệm kích_ứng sản_phẩm sạch mà_còn dịu giúp ngứa_ngáy,17/07/2022,13:48,5,204100075,378,positive,1,3
402,sữa rửa mặt tốt sạch mụn mịn,15/04/2023,23:04,5,422208977,44,positive,1,0
2517,serum chân_ái tuyp nhờn khô_hở tí nổi mụn,25/12/2022,17:11,5,204100019,221,positive,0,1
1750,sài bha obagi thử_sài plc hasaki hàng kèm quà tặng quà trừ tiền sản_phẩm,9/7/2022,4:34,5,100220035,177,positive,0,0
3394,,7/7/2022,11:18,5,204100024,26,positive,0,0
1817,ứng_không_hợp sản_phẩm,5/2/2024,3:50,4,422216354,81,positive,1,1
3556,tư_vấn xe_lửa đẹp á_hỏi sản_phẩm dán mụn trả_lời tè sản_phẩm không_như,12/9/2023,22:33,5,100250032,156,positive,1,0
2375,mùi thơm_dịu mát thư_giãn,29/04/2023,16:52,5,422205163,45,positive,2,0
2027,khum vụ nâng tông trắng lắm chỉnh tông làm_lót phê_hợp kiểu đồ học tự_nhiên dày mặt,24/10/2022,18:02,5,249500019,232,positive,1,0
2928,sánh bnbg ẩm_không_tốt bnbg tốt tầm_giá dầu ẩm thoải_mái treat mặt_nạ,27/03/2024,22:14,5,422209718,228,positive,3,1
3059,mỏng thấm toner nhũn liền mặt tưa sản_phẩm đáp_ứng cầu tốt,19/12/2020,7:52,2,413400001,152,negative,1,0
1118,tốt_tẩy sạch thích nước_tẩy inisfre mùi hóa học không_bị_châm chích trôi chùi sạch lợi rửa mặt,22/06/2021,9:30,5,422204884,278,positive,3,0
2273,bết trắng,17/12/2022,11:20,4,422208183,20,positive,0,0
736,sản_phẩm tốt,5/12/2022,15:52,5,100230056,12,positive,1,0
731,kiểu tiền nấy_xài hàng,4/3/2023,19:08,5,100230056,110,positive,0,0
4234,rít mặt đắp xomg rôid dưỡng đó_nhiên mặt_nạ tốt_đắp không_bị_kích_ứng,17/07/2023,23:05,4,422205637,114,positive,3,1
2696,,18/08/2019,23:21,5,422203776,11,positive,0,0
1806,,8/12/2016,7:54,5,422216098,16,positive,0,0
1281,tiền,11/10/2021,12:13,5,204900005,38,positive,0,0
3417,mùi tự_nhiên hạt nhẹ không_rát không_kích_ứng mỏng tuýp bé tí_í giùm mỏi,30/06/2022,22:32,5,351700026,170,positive,1,1
1268,sạch không_bị sạch dầu,18/09/2024,12:03,5,204900056,65,positive,1,0
1360,trời làn hiệu_quả trông,3/7/2024,8:06,5,422208328,98,positive,1,0
2255,quân_điểm sản_phẩm tích giá rẻ_hợp học_viên đơn_giản sạch sản_phẩm mùi thơm nhạy_cảm hương_liệu cân_nhắc sữa rửa mặt bọt mịn,12/10/2021,21:48,5,357100011,289,positive,4,0
2647,viền_sắc rát_mặt xước mặt,15/02/2022,14:41,2,422203300,85,negative,0,0
3508,hàng chuẩn hàng đắp thích mướt mịn hẳn,1/10/2021,4:50,5,386000044,57,positive,1,0
2484,ưng tệp màu tán không_bị trôi đổ mồ_hôi,10/3/2022,16:20,5,422204388,127,positive,2,1
4003,dầu không_bị mặt sạch hẳn sản_phẩm cũ,31/05/2022,13:52,5,422205673,109,positive,1,0
3626,nhạy_cảm hỗn_hợp thiên_khô êm không_kích_ứng nâng một_chút tự_nhiên mỏng nhẹ không_nặng mặt,30/10/2024,17:25,5,343100024,128,positive,2,1
3176,hài_lòng dưỡng tốt,10/7/2020,22:49,5,345800001,25,positive,2,0
2405,sản_phẩm,26/04/2023,18:41,5,308500018,18,positive,0,0
681,mùi hương dễ_chịu mát giá_thành,30/04/2023,15:02,5,204100019,57,positive,1,0
319,kiểu tách á_loại thời_tiết lạnh ổn dầu mụn típ quây dưỡng ổn,7/7/2024,23:26,4,422204167,156,positive,2,0
132,tốt đường viền chắn chắn không_xơ tưa mềm,25/05/2023,11:14,5,422212331,72,positive,1,0
2723,dạng sữa thắm rửa mặt,9/6/2023,13:34,3,248700035,112,negative,0,0
575,cực_cực cực_kì hài_lòng sản_phẩm tốt nâng tông không_gây khó_chịu làn nhạy_cảm mụn tốt,29/05/2024,9:02,5,253900006,181,positive,4,1
2887,liên_tục sản_phẩm vòng quân_sát kĩ cải_thiện rõ_rệt chân nám mờ dần hẳn texture_lỏng nhẹ thấm cực_kì nhẹ cực_kì thích packaging_thủy nặng_thông đầy_đủ tiết cộng trừ hị_hị yêu thích_dưỡng trắng thâm_nám nhẹ thường_xuyên hẳn,25/01/2021,13:49,5,422202580,498,positive,4,0
677,thích hasaki sản_phẩm,3/5/2023,18:31,5,200400004,47,positive,1,0
2344,dễ_dàng thoải_mái thư_giãn,1/5/2023,20:04,5,308500004,48,positive,2,0
2893,sản_phẩm bì đẹp thấm tông trắng lọ tông hẳn màu kèm ẩm tốt,1/2/2021,13:41,5,422202580,141,positive,2,0
182,tốt quà tặng kèm chưng,28/05/2022,14:22,4,422204259,64,positive,2,0
3810,lọ_dưỡng ẩm hủ_thấm ghê,14/05/2024,8:44,5,422209048,62,positive,0,0
1637,khô_nhiên vichy_dưỡng ẫm_serum bình_thường dễ_tán laroch cũ nâng tông tầm nửa_tông bôi ẩm_không_bị căng,24/07/2024,11:32,5,100160022,217,positive,1,0
706,thích hasaki sản_phẩm,28/04/2023,18:32,5,100230064,47,positive,1,0
414,bộ_tế sản_phẩm nhấp chuột hasaki gửi khảo sản_phẩm hãng,30/03/2023,13:04,5,422208976,153,positive,0,0
441,truóc ổn lắm mùi cồn nồng_nặc,12/11/2022,10:11,4,249500027,55,positive,1,0
1469,hợp dầu mắc,5/1/2022,1:03,4,204900056,25,positive,1,1
380,dầu nổi mụn cerave foaming_năng mục không_chăm bác_sĩ khuyên,22/04/2024,15:21,5,422208976,486,positive,0,1
2019,giá bình_dân tán nâng toner nhẹ tự_nhiên,20/11/2022,17:14,5,249500019,109,positive,0,0
777,bàn_thích dịch_vụ hàng hasaki dịch hàng tỉnh,20/09/2021,16:36,5,100230057,107,positive,1,0
787,cực thích dịu nhẹ hợp mỏng nhẹ dày lì nhớ_tẩy,22/06/2021,8:29,5,100230057,130,positive,2,0
2528,sản_phẩm dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm lâu_thấm cực_kì tối bôi lớp mỏng thôi_tóm_lại dầu mụn,15/07/2021,8:34,3,343700002,244,negative,0,0
201,sản_phẩm tốt quà tặng tưởng,18/06/2022,9:17,4,422204259,66,positive,1,0
378,dầu rửa mặt dầu cetaphil tiết_kiệm hợp_lý cetaphil tích tương_đương,31/05/2024,22:45,4,422208974,299,positive,1,0
223,sạch lớp dầu ẩm không_bị,14/02/2022,20:59,5,205100136,58,positive,1,0
1467,hợp bọt siêu_thích giá,10/2/2022,7:41,5,204900004,59,positive,3,0
1487,cực thích serum lâu_dài,10/1/2021,12:01,5,204900004,63,positive,1,0
324,mùi trái_cây thơm nhẹ_tẩy chết dịu nhẹ không_làm giá_cả,12/9/2020,17:15,5,245500009,74,positive,2,0
142,kích_ứng êm_tẩy lớp sạch,30/04/2023,12:02,5,422206648,117,positive,0,1
2553,acne đóng_gói kỹ hàng tiếc lỡ chất_lượng mụn giải_quyết liên_quân dầu nhờn thâm_lỗ chân_lông,9/11/2020,16:19,5,204100018,259,positive,0,0
1245,thích,11/6/2023,13:56,5,422212331,53,positive,1,0
2336,giàng thoải_mái thư_giản,2/5/2023,16:23,5,422205163,48,positive,2,0
3362,vichy thích lám_mát cự_kỳ thấm khô_thoáng nhẹ,22/06/2019,10:13,5,201600019,101,positive,1,0
2434,mặt nhạy_cảm mặt_nạ cực_hợp tiếc mặt_nạ hàng chờ_đợi mãi mặt_nạ hàng hasaki mẫu mặt_nạ,27/02/2021,20:52,5,422205164,227,positive,1,0
2523,môi thâm sản_phẩm thời không_đổi,20/08/2023,14:23,5,200500293,115,positive,0,0
1282,đi_lại mãi hoài không_thôi,11/10/2021,9:44,5,422216603,58,positive,0,0
742,tặng bông_tẩy hàng tặng rửa mặt,16/09/2022,13:35,4,200400003,80,positive,0,0
1370,ẩm_ổn vết thâm mờ tốt thâm cũ mờ,15/04/2023,16:18,3,318900002,86,negative,2,0
384,sản_phẩm siêu_cấp nhạy_cảm công_nghiệp kích_ứng lập_tức rửa mặt sản_phẩm không_hề lọ mụn lớp đẹp mặt không_vân_không_dễ trôi mồ_hôi trôi sạch không_đổ mồ_hôi sản_phẩm mùi cồn ưng sản_phẩm vô_cùng làn mụn kỹ,29/10/2023,9:58,5,422212097,499,positive,3,1
1061,nắp hồng_dịu nhẹ lành_tính lắm,15/08/2023,0:07,5,422204910,58,positive,0,0
3533,viêm tiết_bã mụn rosacea_xài sản_phẩm hầu_như không_hợp hỗn_hợp thiên_khô rửa mặt ẩm kích_ứng đỏ hôm nổi vết ngứa kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm kết_hợp sản_phẩm chất dày hợp máy_lạnh tóm_lại hợp dầu hỗn_hợp thiên_dầu kết_hợp sản_phẩm sản_phẩm dưỡng ẩm,18/12/2022,12:22,4,422202629,653,positive,8,3
469,công_nghiệp tặng serum thời_hạn,10/5/2023,13:14,5,204900013,50,positive,0,0
1944,,18/11/2023,15:41,5,422209262,3,positive,0,0
306,sạch giá,3/1/2021,10:11,4,205100146,28,positive,0,0
421,hỗn_hợp thiên_dầu ẻm không_hề căng sản_phẩm dạng suốt bọt mặt mụn_ẩn trộm_vía không_bị đẩy mụn giá,14/11/2022,7:43,5,422208975,242,positive,3,0
270,thâm_mờ hẳn đỡ mụn viêm kiên_trì tuần hẳn,27/03/2022,19:06,5,327500002,152,positive,0,0
